quarter,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2004-Q3,services,transport and storage,other transport and storage services,10,10,-
2004-Q3,services,hotels and restaurants,hotels,260,260,-
2004-Q3,services,hotels and restaurants,restaurants,10,10,-
2004-Q3,services,information and communications,broadcasting and publishing,20,20,-
2004-Q3,services,information and communications,telecommunications,10,10,-
2004-Q3,services,information and communications,it and other information services,20,20,-
2004-Q3,services,financial services,financial institutions,190,190,-
2004-Q3,services,financial services,insurance,10,10,-
2004-Q3,services,real estate and leasing services,real estate and leasing services,-,-,-
2004-Q3,services,professional services,"legal, accounting and management services",60,60,-
2004-Q3,services,professional services,architectural and engineering services,10,10,10
2004-Q3,services,professional services,other professional services,-,-,-
2004-Q3,services,administrative and support services,administrative and support services,60,40,20
2004-Q3,services,"community, social and personal services",education,50,50,-
2004-Q3,services,"community, social and personal services","health, social and community services",-,-,-
2004-Q3,services,"community, social and personal services","other community, social and personal services",60,40,20
2004-Q3,others,others,others,80,80,-
2004-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2004-Q4,manufacturing,paper products and printing,paper products and printing,10,10,-
2004-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",120,120,-
2004-Q4,manufacturing,rubber and plastic products,rubber and plastic products,60,60,-
2004-Q4,manufacturing,fabricated metal products,fabricated metal products,110,110,-
2004-Q4,manufacturing,machinery and equipment,machinery and equipment,180,170,10
2004-Q4,manufacturing,electrical products,electrical products,70,70,-
2004-Q4,manufacturing,electronic products,electronic products,610,470,150
2004-Q4,manufacturing,medical and precision instruments,medical and precision instruments,20,20,-
2004-Q4,manufacturing,transport equipment,transport equipment,40,40,-
2004-Q4,manufacturing,other manufacturing industries,other manufacturing industries,310,310,-
2004-Q4,construction,construction,construction,80,60,20
2004-Q4,services,wholesale and retail trade,wholesale trade,260,260,-
2004-Q4,services,wholesale and retail trade,retail trade,-,-,-
2004-Q4,services,transport and storage,land transport and supporting services,10,10,-
2004-Q4,services,transport and storage,water transport and supporting services,20,20,-
2004-Q4,services,transport and storage,air transport and supporting services,690,690,-
2004-Q4,services,transport and storage,other transport and storage services,-,-,-
2004-Q4,services,hotels and restaurants,hotels,-,-,-
2004-Q4,services,hotels and restaurants,restaurants,40,20,10
2004-Q4,services,information and communications,broadcasting and publishing,70,70,-
2004-Q4,services,information and communications,telecommunications,50,50,-
2004-Q4,services,information and communications,it and other information services,50,30,20
2004-Q4,services,financial services,financial institutions,280,280,-
2004-Q4,services,financial services,insurance,30,30,-
2004-Q4,services,real estate and leasing services,real estate and leasing services,40,40,-
2004-Q4,services,professional services,"legal, accounting and management services",30,30,-
2004-Q4,services,professional services,architectural and engineering services,20,20,-
2004-Q4,services,professional services,other professional services,30,30,-
2004-Q4,services,administrative and support services,administrative and support services,20,20,-
2004-Q4,services,"community, social and personal services",education,10,10,-
2004-Q4,services,"community, social and personal services","health, social and community services",10,10,-
2004-Q4,services,"community, social and personal services","other community, social and personal services",70,70,-
2004-Q4,others,others,others,80,70,-
2005-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,20,-
2005-Q1,manufacturing,paper products and printing,paper products and printing,-,-,-
2005-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2005-Q1,manufacturing,rubber and plastic products,rubber and plastic products,80,80,-
2005-Q1,manufacturing,fabricated metal products,fabricated metal products,140,140,-
2005-Q1,manufacturing,machinery and equipment,machinery and equipment,190,190,-
2005-Q1,manufacturing,electrical products,electrical products,50,50,-
2005-Q1,manufacturing,electronic products,electronic products,510,510,-
2005-Q1,manufacturing,medical and precision instruments,medical and precision instruments,10,10,-
2005-Q1,manufacturing,transport equipment,transport equipment,10,-,-
2005-Q1,manufacturing,other manufacturing industries,other manufacturing industries,230,230,-
2005-Q1,construction,construction,construction,140,50,90
2005-Q1,services,wholesale and retail trade,wholesale trade,240,240,-
2005-Q1,services,wholesale and retail trade,retail trade,20,20,-
2005-Q1,services,transport and storage,land transport and supporting services,10,10,-
2005-Q1,services,transport and storage,water transport and supporting services,20,20,-
2005-Q1,services,transport and storage,air transport and supporting services,30,30,-
2005-Q1,services,transport and storage,other transport and storage services,80,80,-
2005-Q1,services,hotels and restaurants,hotels,-,-,-
2005-Q1,services,hotels and restaurants,restaurants,10,10,-
2005-Q1,services,information and communications,broadcasting and publishing,120,120,-
2005-Q1,services,information and communications,telecommunications,40,40,-
2005-Q1,services,information and communications,it and other information services,20,20,-
2005-Q1,services,financial services,financial institutions,190,190,-
2005-Q1,services,financial services,insurance,10,10,-
2005-Q1,services,real estate and leasing services,real estate and leasing services,10,-,10
2005-Q1,services,professional services,"legal, accounting and management services",30,30,-
2005-Q1,services,professional services,architectural and engineering services,10,10,-
2005-Q1,services,professional services,other professional services,10,10,-
2005-Q1,services,administrative and support services,administrative and support services,20,20,-
2005-Q1,services,"community, social and personal services",education,-,-,-
2005-Q1,services,"community, social and personal services","health, social and community services",-,-,-
2005-Q1,services,"community, social and personal services","other community, social and personal services",-,-,-
2005-Q1,others,others,others,-,-,-
2005-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2005-Q2,manufacturing,paper products and printing,paper products and printing,20,20,-
2005-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",50,50,-
2005-Q2,manufacturing,rubber and plastic products,rubber and plastic products,310,310,-
2005-Q2,manufacturing,fabricated metal products,fabricated metal products,80,80,-
2005-Q2,manufacturing,machinery and equipment,machinery and equipment,30,30,-
2005-Q2,manufacturing,electrical products,electrical products,10,10,-
2005-Q2,manufacturing,electronic products,electronic products,590,590,-
2005-Q2,manufacturing,medical and precision instruments,medical and precision instruments,20,20,-
2005-Q2,manufacturing,transport equipment,transport equipment,-,-,-
2005-Q2,manufacturing,other manufacturing industries,other manufacturing industries,150,130,10
2005-Q2,construction,construction,construction,160,70,90
2005-Q2,services,wholesale and retail trade,wholesale trade,170,170,10
2005-Q2,services,wholesale and retail trade,retail trade,20,20,-
2005-Q2,services,transport and storage,land transport and supporting services,20,20,-
2005-Q2,services,transport and storage,water transport and supporting services,10,-,10
2005-Q2,services,transport and storage,air transport and supporting services,-,-,-
2005-Q2,services,transport and storage,other transport and storage services,50,50,-
2005-Q2,services,hotels and restaurants,hotels,-,-,-
2005-Q2,services,hotels and restaurants,restaurants,30,30,-
2005-Q2,services,information and communications,broadcasting and publishing,50,50,-
2005-Q2,services,information and communications,telecommunications,90,90,-
2005-Q2,services,information and communications,it and other information services,10,10,-
2005-Q2,services,financial services,financial institutions,180,180,-
2005-Q2,services,financial services,insurance,10,10,-
2005-Q2,services,real estate and leasing services,real estate and leasing services,10,10,-
2005-Q2,services,professional services,"legal, accounting and management services",20,20,-
2005-Q2,services,professional services,architectural and engineering services,30,20,20
2005-Q2,services,professional services,other professional services,-,-,-
2005-Q2,services,administrative and support services,administrative and support services,-,-,-
2005-Q2,services,"community, social and personal services",education,-,-,-
2005-Q2,services,"community, social and personal services","health, social and community services",110,110,-
2005-Q2,services,"community, social and personal services","other community, social and personal services",20,20,-
2005-Q2,others,others,others,-,-,-
2005-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",50,50,-
2005-Q3,manufacturing,paper products and printing,paper products and printing,-,-,-
2005-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2005-Q3,manufacturing,rubber and plastic products,rubber and plastic products,30,30,-
2005-Q3,manufacturing,fabricated metal products,fabricated metal products,130,130,10
2005-Q3,manufacturing,machinery and equipment,machinery and equipment,120,120,-
2005-Q3,manufacturing,electrical products,electrical products,290,290,10
2005-Q3,manufacturing,electronic products,electronic products,1300,1100,200
2005-Q3,manufacturing,medical and precision instruments,medical and precision instruments,50,50,-
2005-Q3,manufacturing,transport equipment,transport equipment,20,20,-
2005-Q3,manufacturing,other manufacturing industries,other manufacturing industries,30,30,-
2005-Q3,construction,construction,construction,150,30,120
2005-Q3,services,wholesale and retail trade,wholesale trade,270,220,50
2005-Q3,services,wholesale and retail trade,retail trade,30,30,-
2005-Q3,services,transport and storage,land transport and supporting services,-,-,-
2005-Q3,services,transport and storage,water transport and supporting services,20,20,-
2005-Q3,services,transport and storage,air transport and supporting services,-,-,-
2005-Q3,services,transport and storage,other transport and storage services,30,20,10
2005-Q3,services,hotels and restaurants,hotels,-,-,-
2005-Q3,services,hotels and restaurants,restaurants,20,20,10
2005-Q3,services,information and communications,broadcasting and publishing,-,-,-
2005-Q3,services,information and communications,telecommunications,60,60,-
2005-Q3,services,information and communications,it and other information services,30,30,-
2005-Q3,services,financial services,financial institutions,210,210,-
2005-Q3,services,financial services,insurance,-,-,-
2005-Q3,services,real estate and leasing services,real estate and leasing services,50,50,-
2005-Q3,services,professional services,"legal, accounting and management services",20,20,-
2005-Q3,services,professional services,architectural and engineering services,140,130,10
2005-Q3,services,professional services,other professional services,-,-,-
2005-Q3,services,administrative and support services,administrative and support services,40,30,10
2005-Q3,services,"community, social and personal services",education,-,-,-
2005-Q3,services,"community, social and personal services","health, social and community services",100,100,-
2005-Q3,services,"community, social and personal services","other community, social and personal services",10,10,-
2005-Q3,others,others,others,-,-,-
2005-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2005-Q4,manufacturing,paper products and printing,paper products and printing,40,40,-
2005-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",40,40,-
2005-Q4,manufacturing,rubber and plastic products,rubber and plastic products,260,260,-
2005-Q4,manufacturing,fabricated metal products,fabricated metal products,90,70,20
2005-Q4,manufacturing,machinery and equipment,machinery and equipment,40,40,10
2005-Q4,manufacturing,electrical products,electrical products,20,20,-
2005-Q4,manufacturing,electronic products,electronic products,1890,1890,-
2005-Q4,manufacturing,medical and precision instruments,medical and precision instruments,-,-,-
2005-Q4,manufacturing,transport equipment,transport equipment,-,-,-
2005-Q4,manufacturing,other manufacturing industries,other manufacturing industries,100,100,-
2005-Q4,construction,construction,construction,90,60,40
2005-Q4,services,wholesale and retail trade,wholesale trade,170,170,-
2005-Q4,services,wholesale and retail trade,retail trade,50,50,-
2005-Q4,services,transport and storage,land transport and supporting services,-,-,-
2005-Q4,services,transport and storage,water transport and supporting services,-,-,-
2005-Q4,services,transport and storage,air transport and supporting services,20,20,10
2005-Q4,services,transport and storage,other transport and storage services,-,-,-
2005-Q4,services,hotels and restaurants,hotels,-,-,-
2005-Q4,services,hotels and restaurants,restaurants,20,20,-
2005-Q4,services,information and communications,broadcasting and publishing,20,20,-
2005-Q4,services,information and communications,telecommunications,140,140,-
2005-Q4,services,information and communications,it and other information services,90,30,60
2005-Q4,services,financial services,financial institutions,90,80,-
2005-Q4,services,financial services,insurance,-,-,-
2005-Q4,services,real estate and leasing services,real estate and leasing services,30,30,-
2005-Q4,services,professional services,"legal, accounting and management services",40,40,-
2005-Q4,services,professional services,architectural and engineering services,30,20,10
2005-Q4,services,professional services,other professional services,20,20,-
2005-Q4,services,administrative and support services,administrative and support services,10,10,-
2005-Q4,services,"community, social and personal services",education,-,-,-
2005-Q4,services,"community, social and personal services","health, social and community services",10,10,-
2005-Q4,services,"community, social and personal services","other community, social and personal services",40,-,40
2005-Q4,others,others,others,10,10,-
2006-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",70,70,-
2006-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",120,120,-
2006-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",10,10,-
2006-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",220,220,-
2006-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",2080,2070,10
2006-Q1,manufacturing,transport equipment,transport equipment,-,-,-
2006-Q1,manufacturing,other manufacturing industries,other manufacturing industries,90,90,-
2006-Q1,construction,construction,construction,60,60,-
2006-Q1,services,wholesale and retail trade,wholesale trade,160,160,-
2006-Q1,services,wholesale and retail trade,retail trade,20,20,-
2006-Q1,services,transportation and storage,land transport and supporting services,-,-,-
2006-Q1,services,transportation and storage,water transport and supporting services,70,70,-
2006-Q1,services,transportation and storage,air transport and supporting services,10,10,-
2006-Q1,services,transportation and storage,other transport and storage services,10,10,-
2006-Q1,services,accommodation and food services,accommodation,-,-,-
2006-Q1,services,accommodation and food services,food and beverage services,50,50,-
2006-Q1,services,information and communications,"telecommunications, broadcasting and publishing",60,50,-
2006-Q1,services,information and communications,it and other information services,10,10,-
2006-Q1,services,financial and insurance services,financial services,190,190,-
2006-Q1,services,financial and insurance services,insurance services,10,10,-
2006-Q1,services,real estate services,real estate services,90,90,-
2006-Q1,services,professional services,"legal, accounting and management services",30,30,-
2006-Q1,services,professional services,architectural and engineering services,10,10,-
2006-Q1,services,professional services,other professional services,20,20,-
2006-Q1,services,administrative and support services,security and investigation,-,-,-
2006-Q1,services,administrative and support services,cleaning and landscaping,10,10,-
2006-Q1,services,administrative and support services,other adminstrative and support services,30,30,-
2006-Q1,services,"community, social and personal services",public administration and education,50,50,-
2006-Q1,services,"community, social and personal services",health and social services,100,100,-
2006-Q1,services,"community, social and personal services","arts, entertainment and recreation",40,40,10
2006-Q1,services,"community, social and personal services","other community, social and personal services",-,-,-
2006-Q1,others,others,others,40,40,-
2006-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,20,-
2006-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",30,30,-
2006-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-,-,-
2006-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",240,230,10
2006-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1640,1620,20
2006-Q2,manufacturing,transport equipment,transport equipment,20,20,10
2006-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-,-,-
2006-Q2,construction,construction,construction,390,320,70
2006-Q2,services,wholesale and retail trade,wholesale trade,240,230,-
2006-Q2,services,wholesale and retail trade,retail trade,10,10,-
2006-Q2,services,transportation and storage,land transport and supporting services,20,20,-
2006-Q2,services,transportation and storage,water transport and supporting services,-,-,-
2006-Q2,services,transportation and storage,air transport and supporting services,10,10,-
2006-Q2,services,transportation and storage,other transport and storage services,90,90,-
2006-Q2,services,accommodation and food services,accommodation,-,-,-
2006-Q2,services,accommodation and food services,food and beverage services,40,30,10
2006-Q2,services,information and communications,"telecommunications, broadcasting and publishing",330,330,-
2006-Q2,services,information and communications,it and other information services,20,20,-
2006-Q2,services,financial and insurance services,financial services,80,80,-
2006-Q2,services,financial and insurance services,insurance services,-,-,-
2006-Q2,services,real estate services,real estate services,20,20,-
2006-Q2,services,professional services,"legal, accounting and management services",60,60,-
2006-Q2,services,professional services,architectural and engineering services,-,-,-
2006-Q2,services,professional services,other professional services,20,20,-
2006-Q2,services,administrative and support services,security and investigation,-,-,-
2006-Q2,services,administrative and support services,cleaning and landscaping,10,-,10
2006-Q2,services,administrative and support services,other adminstrative and support services,50,20,30
2006-Q2,services,"community, social and personal services",public administration and education,60,60,10
2006-Q2,services,"community, social and personal services",health and social services,-,-,-
2006-Q2,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2006-Q2,services,"community, social and personal services","other community, social and personal services",-,-,-
2006-Q2,others,others,others,10,10,-
2006-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",30,30,-
2006-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",60,50,-
2006-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",20,20,-
2006-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",170,160,10
2006-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1310,1310,-
2006-Q3,manufacturing,transport equipment,transport equipment,30,30,-
2006-Q3,manufacturing,other manufacturing industries,other manufacturing industries,310,270,40
2006-Q3,construction,construction,construction,30,10,20
2006-Q3,services,wholesale and retail trade,wholesale trade,270,260,10
2006-Q3,services,wholesale and retail trade,retail trade,-,-,-
2006-Q3,services,transportation and storage,land transport and supporting services,-,-,-
2006-Q3,services,transportation and storage,water transport and supporting services,-,-,-
2006-Q3,services,transportation and storage,air transport and supporting services,100,100,-
2006-Q3,services,transportation and storage,other transport and storage services,20,20,-
2006-Q3,services,accommodation and food services,accommodation,-,-,-
2006-Q3,services,accommodation and food services,food and beverage services,30,30,-
2006-Q3,services,information and communications,"telecommunications, broadcasting and publishing",30,30,-
2006-Q3,services,information and communications,it and other information services,20,20,-
2006-Q3,services,financial and insurance services,financial services,60,60,-
2013-Q3,construction,construction,construction,260,170,90
2006-Q3,services,financial and insurance services,insurance services,10,-,-
2006-Q3,services,real estate services,real estate services,10,10,-
2006-Q3,services,professional services,"legal, accounting and management services",30,30,-
2006-Q3,services,professional services,architectural and engineering services,10,-,-
2006-Q3,services,professional services,other professional services,-,-,-
2006-Q3,services,administrative and support services,security and investigation,-,-,-
2006-Q3,services,administrative and support services,cleaning and landscaping,-,-,-
2006-Q3,services,administrative and support services,other adminstrative and support services,-,-,-
2006-Q3,services,"community, social and personal services",public administration and education,30,30,-
2006-Q3,services,"community, social and personal services",health and social services,10,-,-
2006-Q3,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2006-Q3,services,"community, social and personal services","other community, social and personal services",10,10,-
2006-Q3,others,others,others,-,-,-
2006-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2006-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",50,40,10
2006-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",80,80,-
2006-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",500,500,10
2006-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1590,1580,10
2006-Q4,manufacturing,transport equipment,transport equipment,60,60,-
2006-Q4,manufacturing,other manufacturing industries,other manufacturing industries,90,90,-
2006-Q4,construction,construction,construction,10,-,10
2006-Q4,services,wholesale and retail trade,wholesale trade,290,270,10
2006-Q4,services,wholesale and retail trade,retail trade,20,20,-
2006-Q4,services,transportation and storage,land transport and supporting services,-,-,-
2006-Q4,services,transportation and storage,water transport and supporting services,30,30,-
2006-Q4,services,transportation and storage,air transport and supporting services,30,30,-
2006-Q4,services,transportation and storage,other transport and storage services,20,10,20
2006-Q4,services,accommodation and food services,accommodation,90,90,-
2006-Q4,services,accommodation and food services,food and beverage services,20,20,-
2006-Q4,services,information and communications,"telecommunications, broadcasting and publishing",100,100,-
2006-Q4,services,information and communications,it and other information services,60,40,20
2006-Q4,services,financial and insurance services,financial services,60,60,-
2006-Q4,services,financial and insurance services,insurance services,-,-,-
2006-Q4,services,real estate services,real estate services,30,20,10
2006-Q4,services,professional services,"legal, accounting and management services",70,70,-
2006-Q4,services,professional services,architectural and engineering services,10,-,10
2006-Q4,services,professional services,other professional services,10,10,-
2006-Q4,services,administrative and support services,security and investigation,-,-,-
2006-Q4,services,administrative and support services,cleaning and landscaping,-,-,-
2006-Q4,services,administrative and support services,other adminstrative and support services,100,20,90
2006-Q4,services,"community, social and personal services",public administration and education,20,20,-
2006-Q4,services,"community, social and personal services",health and social services,10,10,-
2006-Q4,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2006-Q4,services,"community, social and personal services","other community, social and personal services",30,30,-
2006-Q4,others,others,others,20,20,-
2007-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,20,-
2007-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",90,90,-
2007-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",20,20,-
2007-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",270,250,10
2007-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",610,570,50
2007-Q1,manufacturing,transport equipment,transport equipment,-,-,-
2007-Q1,manufacturing,other manufacturing industries,other manufacturing industries,430,420,-
2007-Q1,construction,construction,construction,-,-,-
2007-Q1,services,wholesale and retail trade,wholesale trade,170,170,-
2007-Q1,services,wholesale and retail trade,retail trade,40,40,-
2007-Q1,services,transportation and storage,land transport and supporting services,-,-,-
2007-Q1,services,transportation and storage,water transport and supporting services,10,10,-
2007-Q1,services,transportation and storage,air transport and supporting services,20,20,-
2007-Q1,services,transportation and storage,other transport and storage services,50,50,-
2007-Q1,services,accommodation and food services,accommodation,-,-,-
2007-Q1,services,accommodation and food services,food and beverage services,60,60,-
2007-Q1,services,information and communications,"telecommunications, broadcasting and publishing",30,30,-
2007-Q1,services,information and communications,it and other information services,70,20,50
2014-Q1,construction,construction,construction,400,160,240
2007-Q1,services,financial and insurance services,financial services,40,30,-
2007-Q1,services,financial and insurance services,insurance services,-,-,-
2007-Q1,services,real estate services,real estate services,10,10,-
2007-Q1,services,professional services,"legal, accounting and management services",10,10,-
2007-Q1,services,professional services,architectural and engineering services,10,10,-
2007-Q1,services,professional services,other professional services,10,10,-
2007-Q1,services,administrative and support services,security and investigation,-,-,-
2007-Q1,services,administrative and support services,cleaning and landscaping,20,-,20
2007-Q1,services,administrative and support services,other adminstrative and support services,30,30,-
2007-Q1,services,"community, social and personal services",public administration and education,30,30,-
2007-Q1,services,"community, social and personal services",health and social services,20,20,-
2007-Q1,services,"community, social and personal services","arts, entertainment and recreation",20,20,-
2007-Q1,services,"community, social and personal services","other community, social and personal services",-,-,-
2007-Q1,others,others,others,10,10,-
2007-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",100,90,10
2007-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",60,60,-
2007-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",10,10,-
2007-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",400,370,30
2007-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",750,720,30
2007-Q2,manufacturing,transport equipment,transport equipment,-,-,-
2007-Q2,manufacturing,other manufacturing industries,other manufacturing industries,110,110,-
2007-Q2,construction,construction,construction,10,10,-
2007-Q2,services,wholesale and retail trade,wholesale trade,150,130,20
2007-Q2,services,wholesale and retail trade,retail trade,-,-,-
2007-Q2,services,transportation and storage,land transport and supporting services,20,20,-
2007-Q2,services,transportation and storage,water transport and supporting services,-,-,-
2007-Q2,services,transportation and storage,air transport and supporting services,60,60,-
2007-Q2,services,transportation and storage,other transport and storage services,10,10,-
2007-Q2,services,accommodation and food services,accommodation,10,-,10
2007-Q2,services,accommodation and food services,food and beverage services,30,30,-
2007-Q2,services,information and communications,"telecommunications, broadcasting and publishing",20,20,-
2007-Q2,services,information and communications,it and other information services,20,20,-
2007-Q2,services,financial and insurance services,financial services,60,60,-
2007-Q2,services,financial and insurance services,insurance services,-,-,-
2007-Q2,services,real estate services,real estate services,-,-,-
2007-Q2,services,professional services,"legal, accounting and management services",30,30,-
2007-Q2,services,professional services,architectural and engineering services,10,10,-
2007-Q2,services,professional services,other professional services,-,-,-
2007-Q2,services,administrative and support services,security and investigation,-,-,-
2007-Q2,services,administrative and support services,cleaning and landscaping,-,-,-
2007-Q2,services,administrative and support services,other adminstrative and support services,20,20,-
2007-Q2,services,"community, social and personal services",public administration and education,80,70,-
2007-Q2,services,"community, social and personal services",health and social services,10,10,-
2007-Q2,services,"community, social and personal services","arts, entertainment and recreation",70,70,-
2007-Q2,services,"community, social and personal services","other community, social and personal services",-,-,-
2007-Q2,others,others,others,-,-,-
2007-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2007-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",80,70,10
2007-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",10,10,-
2007-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",120,80,40
2007-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",260,260,-
2007-Q3,manufacturing,transport equipment,transport equipment,80,80,-
2007-Q3,manufacturing,other manufacturing industries,other manufacturing industries,760,760,10
2007-Q3,construction,construction,construction,50,10,40
2007-Q3,services,wholesale and retail trade,wholesale trade,560,190,370
2007-Q3,services,wholesale and retail trade,retail trade,60,50,10
2007-Q3,services,transportation and storage,land transport and supporting services,10,-,10
2007-Q3,services,transportation and storage,water transport and supporting services,-,-,-
2007-Q3,services,transportation and storage,air transport and supporting services,30,30,-
2007-Q3,services,transportation and storage,other transport and storage services,10,10,-
2007-Q3,services,accommodation and food services,accommodation,150,150,-
2007-Q3,services,accommodation and food services,food and beverage services,-,-,-
2007-Q3,services,information and communications,"telecommunications, broadcasting and publishing",10,10,-
2014-Q3,construction,construction,construction,210,170,40
2007-Q3,services,information and communications,it and other information services,10,10,10
2007-Q3,services,financial and insurance services,financial services,30,30,-
2007-Q3,services,financial and insurance services,insurance services,-,-,-
2007-Q3,services,real estate services,real estate services,-,-,-
2007-Q3,services,professional services,"legal, accounting and management services",30,30,-
2007-Q3,services,professional services,architectural and engineering services,10,10,-
2007-Q3,services,professional services,other professional services,20,20,-
2007-Q3,services,administrative and support services,security and investigation,-,-,-
2007-Q3,services,administrative and support services,cleaning and landscaping,-,-,-
2007-Q3,services,administrative and support services,other adminstrative and support services,40,30,-
2007-Q3,services,"community, social and personal services",public administration and education,10,10,10
2007-Q3,services,"community, social and personal services",health and social services,-,-,-
2007-Q3,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2007-Q3,services,"community, social and personal services","other community, social and personal services",20,-,10
2007-Q3,others,others,others,10,-,10
2007-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,-,-
2007-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",200,200,-
2007-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",10,10,-
2007-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",270,260,10
2007-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",670,670,-
2007-Q4,manufacturing,transport equipment,transport equipment,20,10,10
2007-Q4,manufacturing,other manufacturing industries,other manufacturing industries,150,120,30
2007-Q4,construction,construction,construction,20,10,10
2007-Q4,services,wholesale and retail trade,wholesale trade,250,240,20
2007-Q4,services,wholesale and retail trade,retail trade,-,-,-
2007-Q4,services,transportation and storage,land transport and supporting services,10,-,10
2007-Q4,services,transportation and storage,water transport and supporting services,10,10,-
2007-Q4,services,transportation and storage,air transport and supporting services,10,10,-
2007-Q4,services,transportation and storage,other transport and storage services,40,40,-
2007-Q4,services,accommodation and food services,accommodation,-,-,-
2007-Q4,services,accommodation and food services,food and beverage services,70,70,-
2007-Q4,services,information and communications,"telecommunications, broadcasting and publishing",70,70,-
2007-Q4,services,information and communications,it and other information services,50,40,10
2007-Q4,services,financial and insurance services,financial services,50,50,10
2007-Q4,services,financial and insurance services,insurance services,-,-,-
2007-Q4,services,real estate services,real estate services,-,-,-
2007-Q4,services,professional services,"legal, accounting and management services",140,130,-
2007-Q4,services,professional services,architectural and engineering services,-,-,-
2007-Q4,services,professional services,other professional services,20,20,-
2007-Q4,services,administrative and support services,security and investigation,-,-,-
2007-Q4,services,administrative and support services,cleaning and landscaping,-,-,-
2007-Q4,services,administrative and support services,other adminstrative and support services,50,30,20
2007-Q4,services,"community, social and personal services",public administration and education,-,-,-
